USGS	02169505	2021-03-31 00:00	EDT	2.71	P
USGS	02169505	2021-03-31 00:05	EDT	2.71	P
USGS	02169505	2021-03-31 00:10	EDT	2.71	P
USGS	02169505	2021-03-31 00:15	EDT	2.70	P
USGS	02169505	2021-03-31 00:20	EDT	2.71	P
USGS	02169505	2021-03-31 00:25	EDT	2.71	P
USGS	02169505	2021-03-31 00:30	EDT	2.71	P
USGS	02169505	2021-03-31 00:35	EDT	2.70	P
USGS	02169505	2021-03-31 00:40	EDT	2.71	P
USGS	02169505	2021-03-31 00:45	EDT	2.70	P
USGS	02169505	2021-03-31 00:50	EDT	2.71	P
USGS	02169505	2021-03-31 00:55	EDT	2.70	P
USGS	02169505	2021-03-31 01:00	EDT	2.71	P
USGS	02169505	2021-03-31 01:05	EDT	2.70	P
USGS	02169505	2021-03-31 01:10	EDT	2.70	P
USGS	02169505	2021-03-31 01:15	EDT	2.70	P
USGS	02169505	2021-03-31 01:20	EDT	2.71	P
USGS	02169505	2021-03-31 01:25	EDT	2.71	P
USGS	02169505	2021-03-31 01:30	EDT	2.70	P
USGS	02169505	2021-03-31 01:35	EDT	2.71	P
USGS	02169505	2021-03-31 01:40	EDT	2.71	P
USGS	02169505	2021-03-31 01:45	EDT	2.70	P
USGS	02169505	2021-03-31 01:50	EDT	2.70	P
USGS	02169505	2021-03-31 01:55	EDT	2.71	P
USGS	02169505	2021-03-31 02:00	EDT	2.70	P
USGS	02169505	2021-03-31 02:05	EDT	2.71	P
USGS	02169505	2021-03-31 02:10	EDT	2.71	P
USGS	02169505	2021-03-31 02:15	EDT	2.70	P
USGS	02169505	2021-03-31 02:20	EDT	2.70	P
USGS	02169505	2021-03-31 02:25	EDT	2.71	P
USGS	02169505	2021-03-31 02:30	EDT	2.71	P
USGS	02169505	2021-03-31 02:35	EDT	2.70	P
USGS	02169505	2021-03-31 02:40	EDT	2.70	P
USGS	02169505	2021-03-31 02:45	EDT	2.71	P
USGS	02169505	2021-03-31 02:50	EDT	2.71	P
USGS	02169505	2021-03-31 02:55	EDT	2.71	P
USGS	02169505	2021-03-31 03:00	EDT	2.70	P
USGS	02169505	2021-03-31 03:05	EDT	2.71	P
USGS	02169505	2021-03-31 03:10	EDT	2.71	P
USGS	02169505	2021-03-31 03:15	EDT	2.71	P
USGS	02169505	2021-03-31 03:20	EDT	2.71	P
USGS	02169505	2021-03-31 03:25	EDT	2.70	P
USGS	02169505	2021-03-31 03:30	EDT	2.71	P
USGS	02169505	2021-03-31 03:35	EDT	2.71	P
USGS	02169505	2021-03-31 03:40	EDT	2.70	P
USGS	02169505	2021-03-31 03:45	EDT	2.70	P
USGS	02169505	2021-03-31 03:50	EDT	2.71	P
USGS	02169505	2021-03-31 03:55	EDT	2.71	P
USGS	02169505	2021-03-31 04:00	EDT	2.70	P
USGS	02169505	2021-03-31 04:05	EDT	2.71	P
USGS	02169505	2021-03-31 04:10	EDT	2.70	P
USGS	02169505	2021-03-31 04:15	EDT	2.71	P
USGS	02169505	2021-03-31 04:20	EDT	2.71	P
USGS	02169505	2021-03-31 04:25	EDT	2.71	P
USGS	02169505	2021-03-31 04:30	EDT	2.71	P
USGS	02169505	2021-03-31 04:35	EDT	2.71	P
USGS	02169505	2021-03-31 04:40	EDT	2.71	P
USGS	02169505	2021-03-31 04:45	EDT	2.71	P
USGS	02169505	2021-03-31 04:50	EDT	2.71	P
